,code,base_price,delta,today_open,today_close,today_high,today_low,tomorrow_open,tomorrow_close,tomorrow_high,tomorrow_low,buy_flag
1781,002684,13.03,0.2101735770702362,7.2327704429626465,7.317805767059326,7.723175048828125,6.8740925788879395,8.030356407165527,8.102071762084961,8.31884479522705,7.808854103088379,1
2478,002691,13.411,0.13384100794792175,10.27901554107666,10.380895614624023,10.825244903564453,9.933631896972656,10.97177791595459,11.051386833190918,11.263158798217773,10.770938873291016,1
461,000735,12.11,0.10313481837511063,15.670872688293457,15.77640438079834,16.422203063964844,15.020956993103027,15.784154891967773,15.94650650024414,16.570140838623047,15.18950366973877,1
70,600385,12.92,0.09697228670120239,7.777383327484131,7.847744464874268,8.01861572265625,7.595809459686279,8.196292877197266,8.266853332519531,8.332392692565918,8.083640098571777,1
2721,603336,21.6,0.09284693747758865,27.04046630859375,27.223209381103516,28.256811141967773,26.06208038330078,27.234832763671875,27.474321365356445,28.48186492919922,26.319408416748047,1
793,603722,49.659,0.09076044708490372,46.4342155456543,46.66425323486328,48.09698486328125,45.0750617980957,47.659847259521484,47.870094299316406,49.16609191894531,46.32979202270508,1
1373,603777,18.16,0.08925788104534149,18.894628524780273,19.048303604125977,19.6212158203125,18.347593307495117,19.2294921875,19.386308670043945,19.985261917114258,18.661680221557617,1
1011,300721,34.287,0.08815599977970123,36.80240249633789,37.14738845825195,38.44625473022461,35.53976821899414,36.91311264038086,37.296287536621094,38.672813415527344,35.610897064208984,1
944,002917,29.883,0.08738229423761368,33.913978576660156,34.24274444580078,35.397369384765625,32.74306869506836,33.953399658203125,34.3958740234375,35.6042366027832,32.8444709777832,1
1446,600645,20.5,0.08659177273511887,21.075260162353516,21.299739837646484,21.811559677124023,20.53018569946289,21.479169845581055,21.719730377197266,22.30792999267578,20.89521026611328,1
489,002225,4.64,0.08633268624544144,4.766430854797363,4.8084282875061035,4.9584431648254395,4.622056484222412,4.868432998657227,4.886883735656738,5.021090984344482,4.7451910972595215,1
2318,300057,8.33,0.08576880395412445,6.2540202140808105,6.338242053985596,6.453999042510986,6.128287315368652,6.563841342926025,6.6252522468566895,6.653903007507324,6.497421741485596,1
2794,000673,16.48,0.08564193546772003,17.807857513427734,17.98699951171875,18.51714324951172,17.31011390686035,18.23687171936035,18.381624221801758,18.792585372924805,17.829879760742188,1
1808,600438,11.75,0.0852065160870552,6.396113395690918,6.44446325302124,6.564709663391113,6.223851680755615,6.556717395782471,6.613111972808838,6.754164218902588,6.4122796058654785,1
2499,002903,31.442,0.08480054885149002,39.35266876220703,39.67998504638672,40.78743362426758,38.225379943847656,40.03012466430664,40.339778900146484,41.466915130615234,38.89939498901367,1
2272,000019,10.09,0.08425571769475937,10.236721992492676,10.345710754394531,10.630664825439453,9.978239059448242,10.493764877319336,10.589941024780273,10.818963050842285,10.270415306091309,1
1125,002366,23.73,0.08416318148374557,14.372658729553223,14.495661735534668,14.82432746887207,13.979153633117676,14.685932159423828,14.800833702087402,15.155683517456055,14.315762519836426,1
465,002458,17.39,0.0839753970503807,17.08078384399414,17.25029182434082,17.749820709228516,16.5479679107666,17.142505645751953,17.34714698791504,17.937589645385742,16.56248664855957,1
1471,300653,58.03,0.08336739987134933,67.00276184082031,67.4639892578125,69.61837005615234,64.89055633544922,67.55266571044922,68.13238525390625,70.30030822753906,65.49005889892578,1
2208,300490,14.022,0.08300076425075531,15.260963439941406,15.416977882385254,15.743124961853027,14.908441543579102,15.628316879272461,15.779685020446777,16.14585304260254,15.24646282196045,1
3101,002289,7.82,0.08150452375411987,8.095307350158691,8.150419235229492,8.373358726501465,7.876496315002441,8.250696182250977,8.318052291870117,8.518465995788574,8.053178787231445,1
654,002782,14.69,0.08014310896396637,16.65181541442871,16.806495666503906,17.313232421875,16.159610748291016,16.78995704650879,16.92732048034668,17.454692840576172,16.276708602905273,1
3176,002112,9.6,0.08013349771499634,6.113744258880615,6.170405864715576,6.271609783172607,5.970290660858154,6.258668422698975,6.320261001586914,6.448710918426514,6.126838684082031,1
1028,603507,29.028,0.08001775294542313,27.232633590698242,27.491859436035156,28.198429107666016,26.487150192260742,27.460166931152344,27.77039337158203,28.60659408569336,26.662429809570312,1
2737,002696,13.322,0.07984424382448196,10.617413520812988,10.723142623901367,10.95370101928711,10.342169761657715,10.77922534942627,10.898283004760742,11.167932510375977,10.50529670715332,1
2825,002829,26.16,0.07977356761693954,28.063547134399414,28.249610900878906,29.187227249145508,27.195892333984375,28.336898803710938,28.54513931274414,29.365406036376953,27.5771427154541,1
356,002813,32.35,0.07959360629320145,38.32890701293945,38.67854690551758,39.88457489013672,37.15658950805664,38.60243606567383,38.93718338012695,40.114017486572266,37.47251892089844,1
1282,300139,6.71,0.0795295462012291,9.459470748901367,9.543137550354004,9.928504943847656,9.159340858459473,9.462992668151855,9.54754638671875,9.887778282165527,9.172987937927246,1
181,300731,32.693,0.07883590459823608,37.640750885009766,37.93488311767578,39.007503509521484,36.5341796875,37.957496643066406,38.29033279418945,39.41438674926758,36.868587493896484,1
1022,601012,26.505,0.07879592478275299,15.214190483093262,15.29798412322998,15.543088912963867,14.86247444152832,15.69252872467041,15.778303146362305,16.03357696533203,15.413445472717285,1
3029,300645,35.798,0.0784439668059349,35.54315948486328,35.848533630371094,36.78565979003906,34.54640579223633,35.83679962158203,36.18421173095703,37.25636291503906,34.7581787109375,1
2711,600371,9.25,0.07834845036268234,10.135891914367676,10.237139701843262,10.508814811706543,9.8742094039917,10.273036003112793,10.370397567749023,10.647838592529297,10.01289176940918,1
