index,amount,change,date,price,time,type,volume
97,10531,-0.01,2018-09-03,8.1,09:35:19,卖盘,13
98,51047,0.0,2018-09-03,8.1,09:35:22,买盘,63
99,21086,0.01,2018-09-03,8.11,09:35:25,买盘,26
100,68890,-0.01,2018-09-03,8.1,09:35:28,卖盘,85
101,260331,0.01,2018-09-03,8.11,09:35:31,买盘,321
102,22699,0.0,2018-09-03,8.11,09:35:34,买盘,28
103,16243,0.02,2018-09-03,8.13,09:35:40,买盘,20
104,1628,0.01,2018-09-03,8.14,09:35:48,买盘,2
105,814,0.0,2018-09-03,8.14,09:35:51,买盘,1
106,32500,-0.01,2018-09-03,8.13,09:35:54,卖盘,40
107,32550,0.02,2018-09-03,8.15,09:35:58,买盘,40
108,1630,0.0,2018-09-03,8.15,09:36:00,买盘,2
109,814,-0.01,2018-09-03,8.14,09:36:04,买盘,1
110,3256,0.0,2018-09-03,8.14,09:36:07,买盘,4
111,814,0.0,2018-09-03,8.14,09:36:09,买盘,1
112,24420,0.0,2018-09-03,8.14,09:36:13,买盘,30
113,61790,-0.01,2018-09-03,8.13,09:36:16,卖盘,76
114,52052,-0.01,2018-09-03,8.12,09:36:19,卖盘,64
115,52024,0.02,2018-09-03,8.14,09:36:22,买盘,64
116,8140,0.0,2018-09-03,8.14,09:36:25,买盘,10
117,25219,-0.01,2018-09-03,8.13,09:36:31,中性盘,31
118,66629,-0.01,2018-09-03,8.12,09:36:37,卖盘,82
119,34181,0.02,2018-09-03,8.14,09:36:40,买盘,42
120,65086,-0.02,2018-09-03,8.12,09:36:49,卖盘,80
121,4894,0.04,2018-09-03,8.16,09:36:51,买盘,6
122,3264,0.0,2018-09-03,8.16,09:36:54,买盘,4
123,58528,-0.03,2018-09-03,8.13,09:37:04,卖盘,72
124,2445,0.02,2018-09-03,8.15,09:37:07,中性盘,3
125,4891,0.01,2018-09-03,8.16,09:37:13,买盘,6
126,12240,0.0,2018-09-03,8.16,09:37:16,买盘,15
127,12234,-0.01,2018-09-03,8.15,09:37:25,卖盘,15
128,3264,0.01,2018-09-03,8.16,09:37:28,买盘,4
129,40792,-0.01,2018-09-03,8.15,09:37:31,中性盘,50
130,9768,-0.01,2018-09-03,8.14,09:37:33,卖盘,12
131,22001,0.01,2018-09-03,8.15,09:37:36,买盘,27
132,16290,0.0,2018-09-03,8.15,09:37:39,买盘,20
133,2445,0.0,2018-09-03,8.15,09:37:43,买盘,3
134,9768,-0.01,2018-09-03,8.14,09:37:52,卖盘,12
135,4070,0.0,2018-09-03,8.14,09:37:55,买盘,5
136,5698,0.0,2018-09-03,8.14,09:37:58,买盘,7
137,24390,-0.01,2018-09-03,8.13,09:38:01,卖盘,30
138,15466,0.01,2018-09-03,8.14,09:38:04,买盘,19
139,4884,0.0,2018-09-03,8.14,09:38:10,买盘,6
140,4879,-0.01,2018-09-03,8.13,09:38:13,卖盘,6
141,3254,0.01,2018-09-03,8.14,09:38:16,买盘,4
142,11396,0.0,2018-09-03,8.14,09:38:18,买盘,14
143,30087,0.0,2018-09-03,8.14,09:38:21,买盘,37
144,21164,0.0,2018-09-03,8.14,09:38:24,买盘,26
145,16276,0.0,2018-09-03,8.14,09:38:31,买盘,20
146,5698,0.0,2018-09-03,8.14,09:38:34,买盘,7
147,3256,0.0,2018-09-03,8.14,09:38:43,买盘,4
148,1628,0.0,2018-09-03,8.14,09:38:49,买盘,2
149,35816,0.0,2018-09-03,8.14,09:38:52,买盘,44
150,28489,0.0,2018-09-03,8.14,09:38:58,卖盘,35
151,82290,0.01,2018-09-03,8.15,09:39:01,买盘,101
152,4070,-0.01,2018-09-03,8.14,09:39:04,卖盘,5
153,7328,0.01,2018-09-03,8.15,09:39:07,买盘,9
154,1630,0.0,2018-09-03,8.15,09:39:10,买盘,2
155,10585,-0.01,2018-09-03,8.14,09:39:13,卖盘,13
156,17914,0.0,2018-09-03,8.14,09:39:19,卖盘,22
157,38258,0.0,2018-09-03,8.14,09:39:22,卖盘,47
158,21164,0.0,2018-09-03,8.14,09:39:28,买盘,26
159,8951,0.0,2018-09-03,8.14,09:39:37,买盘,11
160,100008,-0.01,2018-09-03,8.13,09:39:46,卖盘,123
161,4065,0.0,2018-09-03,8.13,09:39:51,买盘,5
162,16260,0.0,2018-09-03,8.13,09:39:54,买盘,20
163,6504,0.0,2018-09-03,8.13,09:39:58,买盘,8
164,69832,-0.01,2018-09-03,8.12,09:40:06,卖盘,86
165,37281,-0.02,2018-09-03,8.1,09:40:10,卖盘,46
166,1624,0.02,2018-09-03,8.12,09:40:13,买盘,2
167,8928,0.0,2018-09-03,8.12,09:40:16,买盘,11
168,12961,-0.02,2018-09-03,8.1,09:40:19,卖盘,16
169,5679,0.03,2018-09-03,8.13,09:40:22,买盘,7
170,4860,-0.03,2018-09-03,8.1,09:40:25,卖盘,6
171,22680,0.0,2018-09-03,8.1,09:40:27,卖盘,28
172,25110,0.0,2018-09-03,8.1,09:40:37,买盘,31
173,12960,0.0,2018-09-03,8.1,09:40:40,买盘,16
174,46113,-0.01,2018-09-03,8.09,09:40:43,卖盘,57
175,20235,0.0,2018-09-03,8.09,09:40:49,卖盘,25
176,10524,0.01,2018-09-03,8.1,09:40:51,买盘,13
177,1618,-0.01,2018-09-03,8.09,09:40:54,买盘,2
178,44440,-0.01,2018-09-03,8.08,09:40:57,卖盘,55
179,37175,0.01,2018-09-03,8.09,09:41:04,买盘,46
180,16989,0.0,2018-09-03,8.09,09:41:07,买盘,21
181,14546,-0.01,2018-09-03,8.08,09:41:10,中性盘,18
182,18587,0.0,2018-09-03,8.08,09:41:13,卖盘,23
183,8083,0.01,2018-09-03,8.09,09:41:15,买盘,10
184,10514,-0.01,2018-09-03,8.08,09:41:21,卖盘,13
185,8888,0.0,2018-09-03,8.08,09:41:28,卖盘,11
186,71104,0.0,2018-09-03,8.08,09:41:33,卖盘,88
187,3232,0.0,2018-09-03,8.08,09:41:37,买盘,4
188,23432,0.0,2018-09-03,8.08,09:41:39,买盘,29
189,16949,-0.01,2018-09-03,8.07,09:41:43,卖盘,21
190,52462,0.0,2018-09-03,8.07,09:41:45,卖盘,65
191,6459,0.0,2018-09-03,8.07,09:41:49,卖盘,8
192,12109,0.01,2018-09-03,8.08,09:41:52,买盘,15
193,5649,-0.01,2018-09-03,8.07,09:41:55,卖盘,7
194,8080,0.01,2018-09-03,8.08,09:41:58,买盘,10
195,36315,-0.01,2018-09-03,8.07,09:42:01,卖盘,45
196,62216,0.01,2018-09-03,8.08,09:42:07,买盘,77
197,808,0.0,2018-09-03,8.08,09:42:10,买盘,1
198,31512,0.0,2018-09-03,8.08,09:42:13,买盘,39
199,16163,0.0,2018-09-03,8.08,09:42:16,卖盘,20
200,23456,0.02,2018-09-03,8.1,09:42:19,买盘,29
201,12960,0.0,2018-09-03,8.1,09:42:22,买盘,16
202,6472,0.0,2018-09-03,8.1,09:42:25,买盘,8
203,28340,-0.01,2018-09-03,8.09,09:42:28,中性盘,35
204,33210,0.01,2018-09-03,8.1,09:42:31,买盘,41
205,4860,0.0,2018-09-03,8.1,09:42:33,卖盘,6
206,21883,0.03,2018-09-03,8.13,09:42:40,买盘,27
207,21891,-0.03,2018-09-03,8.1,09:42:46,卖盘,27
208,16252,0.04,2018-09-03,8.14,09:42:49,买盘,20
209,1628,0.0,2018-09-03,8.14,09:42:52,买盘,2
210,15390,-0.04,2018-09-03,8.1,09:42:55,卖盘,19
211,811,0.01,2018-09-03,8.11,09:42:57,中性盘,1
212,9728,-0.01,2018-09-03,8.1,09:43:01,卖盘,12
213,36483,0.0,2018-09-03,8.1,09:43:04,卖盘,45
214,6480,0.0,2018-09-03,8.1,09:43:12,卖盘,8
215,120690,0.0,2018-09-03,8.1,09:43:15,卖盘,149
216,1623,0.03,2018-09-03,8.13,09:43:19,买盘,2
217,16260,0.0,2018-09-03,8.13,09:43:22,买盘,20
218,1620,-0.03,2018-09-03,8.1,09:43:28,卖盘,2
219,11368,0.02,2018-09-03,8.12,09:43:31,买盘,14
220,2436,0.0,2018-09-03,8.12,09:43:43,买盘,3
221,3248,0.0,2018-09-03,8.12,09:43:46,买盘,4
222,1624,0.0,2018-09-03,8.12,09:43:49,买盘,2
223,3243,-0.01,2018-09-03,8.11,09:43:52,中性盘,4
224,24322,0.0,2018-09-03,8.11,09:43:55,买盘,30
225,12165,0.0,2018-09-03,8.11,09:43:58,买盘,15
226,3241,0.0,2018-09-03,8.11,09:44:04,买盘,4
227,14580,-0.01,2018-09-03,8.1,09:44:07,卖盘,18
228,811,0.01,2018-09-03,8.11,09:44:10,买盘,1
229,4055,0.0,2018-09-03,8.11,09:44:16,买盘,5
